Source;Target;Type;
0;2243;Directed;
0;12084;Directed;
0;6169;Directed;
0;4887;Directed;
0;3694;Directed;
0;6260;Directed;
0;6977;Directed;
0;8788;Directed;
0;2399;Directed;
0;1362;Directed;
1;10168;Directed;
1;5913;Directed;
1;1731;Directed;
1;5459;Directed;
1;3562;Directed;
1;8575;Directed;
1;12886;Directed;
1;7558;Directed;
1;3482;Directed;
1;7573;Directed;
1;4619;Directed;
1;7044;Directed;
8087;7031;Directed;
8087;10926;Directed;
8087;7877;Directed;
8087;6835;Directed;
8087;11843;Directed;
8087;3266;Directed;
8087;6519;Directed;
8087;9938;Directed;
8087;5002;Directed;
8087;12412;Directed;
8087;11378;Directed;
2;3831;Directed;
2;9776;Directed;
2;4164;Directed;
2;302;Directed;
2;9915;Directed;
3;3780;Directed;
3;3532;Directed;
3;11579;Directed;
4;11937;Directed;
4;716;Directed;
4;6680;Directed;
4588;10080;Directed;
4588;5660;Directed;
4588;11809;Directed;
4588;7723;Directed;
4588;13880;Directed;
4588;1179;Directed;
4588;9969;Directed;
4588;5856;Directed;
4588;10476;Directed;
4588;12576;Directed;
4588;6901;Directed;
4588;4160;Directed;
4588;12872;Directed;
4588;11518;Directed;
4588;4478;Directed;
4588;10847;Directed;
4588;6530;Directed;
4588;11465;Directed;
4588;9525;Directed;
4588;13546;Directed;
4588;5963;Directed;
4588;12938;Directed;
4588;8794;Directed;
4588;12533;Directed;
4588;7688;Directed;
4588;7748;Directed;
4588;2394;Directed;
4588;4377;Directed;
4588;10490;Directed;
4588;35;Directed;
4588;8138;Directed;
4588;9145;Directed;
4588;8084;Directed;
4588;2991;Directed;
4588;13620;Directed;
4588;13372;Directed;
4588;9839;Directed;
4588;8661;Directed;
4588;2802;Directed;
4588;2355;Directed;
4588;1066;Directed;
4588;4334;Directed;
4588;10460;Directed;
4588;962;Directed;
4588;6335;Directed;
4588;2476;Directed;
4588;2999;Directed;
4588;7228;Directed;
6;4401;Directed;
6;13449;Directed;
6;13635;Directed;
6;11489;Directed;
6;9248;Directed;
6;13883;Directed;
6;2599;Directed;
6;7681;Directed;
6;10850;Directed;
6;8828;Directed;
6;8775;Directed;
6;9414;Directed;
6;9346;Directed;
6;11733;Directed;
6;10748;Directed;
6;11201;Directed;
6;5792;Directed;
6;1041;Directed;
6;6262;Directed;
6;3499;Directed;
6;385;Directed;
6;4905;Directed;
6;6528;Directed;
6;11995;Directed;
6;4088;Directed;
6;12420;Directed;
6;10990;Directed;
6;11477;Directed;
6;10500;Directed;
6;7612;Directed;
6;12699;Directed;
6;9431;Directed;
6;1531;Directed;
6;11738;Directed;
6;3200;Directed;
6;3974;Directed;
6;9849;Directed;
6;5770;Directed;
6;13138;Directed;
6;4105;Directed;
8;5831;Directed;
8;10253;Directed;
8;5888;Directed;
8;10224;Directed;
8;8885;Directed;
8;10827;Directed;
8;127;Directed;
8;9876;Directed;
8;6021;Directed;
8;9191;Directed;
8;3217;Directed;
8;13495;Directed;
8;13488;Directed;
9;6026;Directed;
9;57;Directed;
9;7287;Directed;
10;4024;Directed;
10;6030;Directed;
10;11116;Directed;
11;5963;Directed;
11;6013;Directed;
11;8257;Directed;
11;8385;Directed;
12;2317;Directed;
12;2897;Directed;
12;6658;Directed;
12;6456;Directed;
12;8867;Directed;
12;7838;Directed;
12;7778;Directed;
12;676;Directed;
12;13096;Directed;
12;6666;Directed;
12;6296;Directed;
12;5674;Directed;
12;9279;Directed;
12;13887;Directed;
12;4414;Directed;
12;10035;Directed;
12;1033;Directed;
12;321;Directed;
12;3893;Directed;
12;6174;Directed;
12;6984;Directed;
12;546;Directed;
12;9871;Directed;
12;10753;Directed;
12;1237;Directed;
12;9859;Directed;
12;12988;Directed;
12;5848;Directed;
12;127;Directed;
12;2670;Directed;
12;1043;Directed;
12;10724;Directed;
12;3722;Directed;
12;8396;Directed;
12;12229;Directed;
12;5722;Directed;
12;13840;Directed;
12;12416;Directed;
12;1994;Directed;
12;13664;Directed;
12;5750;Directed;
12;5805;Directed;
12;2460;Directed;
12;856;Directed;
